title,source,date,url
Stock Market Today: Dow Futures Inch Lower; Oil Prices Rise — Live Updates - The Wall Street Journal,The Wall Street Journal,2026-02-19,https://www.wsj.com/livecoverage/stock-market-today-dow-sp-500-nasdaq-02-19-2026
Blood tests show potential for predicting start of Alzheimer’s symptoms - The Washington Post,The Washington Post,2026-02-19,https://www.washingtonpost.com/health/2026/02/19/alzheimers-tests-symptom-onset-predictions/
Column | 8 science-backed habits for a healthier heart - The Washington Post,The Washington Post,2026-02-19,https://www.washingtonpost.com/wellness/2026/02/19/habits-for-heart-health/
The biggest app in the whole wide world - The Verge,The Verge,2026-02-19,https://www.theverge.com/tech/876196/top-app-store-apps-developers
Canadians kind of hate America now. Our new poll shows just how much. - Politico,Politico,2026-02-19,https://www.politico.com/news/2026/02/19/5-charts-show-just-how-badly-the-us-has-torpedoed-its-relationship-with-canada-00787084
Former South Korean President Yoon receives life sentence for imposing martial law - Associated Press News,Associated Press,2026-02-19,https://apnews.com/article/south-korea-yoon-suk-yeol-martial-law-verdict-rebellion-5d5f5c3a82590dc805b41b905f5bbca1
Hubert David Post-State Press Conference Full Transcript - 247Sports,247Sports,2026-02-19,https://247sports.com/college/north-carolina/article/unc-mens-basketball-274733131/
8 dead in Tahoe avalanche; victims include Sugar Bowl ski team moms - San Francisco Chronicle,San Francisco Chronicle,2026-02-19,https://www.sfchronicle.com/california/article/tahoe-avalanche-skiers-dead-21360546.php
Vivo V70 is officially here with impressive Zeiss cameras: you're invited to the flagship party! - PhoneArena,PhoneArena,2026-02-19,https://www.phonearena.com/news/vivo-v70-is-officially-here_id178311
"February 18, 2026 - Letters from an American | Heather Cox Richardson | Substack",Substack.com,2026-02-19,https://heathercoxrichardson.substack.com/p/february-18-2026
"As Israel takes steps to claim land in West Bank, U.S. stands by - The Washington Post",The Washington Post,2026-02-19,https://www.washingtonpost.com/world/2026/02/18/israel-west-bank-annexation-trump-land-registration/
José María Balcázar becomes Peru’s eighth president in a decade - Associated Press News,Associated Press,2026-02-19,https://apnews.com/article/peru-president-congress-interim-election-c6f1e2d6c061ea8ba1cb0f4f467609bc
Quick hits: No. 8 Illini put on a show in 101-65 laugher over USC - 247Sports,247Sports,2026-02-19,https://247sports.com/college/illinois/article/illinois-fighting-illini-basketball-usc-trojans-quick-hits-recap-274866164/
3 takeaways from BYU’s loss at No. 4 Arizona - Deseret News,Deseret News,2026-02-19,https://www.deseret.com/sports/2026/02/18/byu-basketball-loses-against-arizona-mckale-center-3-takeaways/
"Bowser declares Potomac sewage spill an emergency, seeks federal aid for cleanup - The Washington Post",The Washington Post,2026-02-19,https://www.washingtonpost.com/dc-md-va/2026/02/18/potomac-sewage-spill-emergency-dc-order/
"Trump administration gives ICE broader powers to detain legal refugees, citing security concerns - CBS News",CBS News,2026-02-19,https://www.cbsnews.com/news/trump-administration-gives-ice-broader-powers-to-detain-legal-refugees-citing-security-concerns/
"Takaichi, reelected as Japan's leader, wants to cooperate with US in rare earths development - Associated Press News",Associated Press,2026-02-19,https://apnews.com/article/japan-takaichi-us-china-trump-defense-aa82f8a3b5a7120575072f390f30fb97
"Jordan Stolz pursues 1500m gold, sprint sweep as speed skating continues in Milan - NBC Olympics",Nbcolympics.com,2026-02-19,https://www.nbcolympics.com/news/jordan-stolz-pursues-1500m-gold-sprint-sweep-speed-skating-continues-milan
Boeing defense headquarters to return to St. Louis after leaving the area in 2017 - STLPR,Stlpr.org,2026-02-19,https://www.stlpr.org/economy-business/2026-02-18/boeing-defense-headquarters-return-st-louis
Minnesota weather: 2 to 3 feet of snow on North Shore; significant accumulations in the Twin Cities - MPR News,Minnesota Public Radio News,2026-02-18,https://www.mprnews.org/story/2026/02/18/2-to-3-feet-of-snow-on-north-shore-significant-accumulations-in-the-twin-cities
The BBC is in multiple languages,BBC,,https://www.bbc.com/news
